key,name,notes,money,kind,key:sponsorship
# base entity
donation-01,"Lorem ipsum","Lorem ipsum dolor sit amet consectetur adipiscing elit lorem",EUR 500.00,ALTRUIST,""
# name 
donation-02,"","Lorem ipsum dolor sit amet consectetur adipiscing elit lorem",EUR 500.00,ALTRUIST,sponsorship-01
donation-03,,"Lorem ipsum dolor sit amet consectetur adipiscing elit lorem",EUR 500.00,ALTRUIST,sponsorship-01
donation-04,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tem","Lorem ipsum dolor sit amet consectetur adipiscing elit lorem",EUR 500.00,ALTRUIST,sponsorship-01
# notes
donation-05,"Lorem ipsum","",EUR 500.00,ALTRUIST,sponsorship-01
donation-06,"Lorem ipsum",,EUR 500.00,ALTRUIST,sponsorship-01
donation-07,"Lorem ipsum","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor i",EUR 500.00,ALTRUIST,sponsorship-01
#money
donation-08,"Lorem ipsum","Lorem ipsum dolor sit amet consectetur adipiscing elit lorem",,ALTRUIST,sponsorship-01
donation-09,"Lorem ipsum","Lorem ipsum dolor sit amet consectetur adipiscing elit lorem",EUR -0.01,ALTRUIST,sponsorship-01
donation-10,"Lorem ipsum","Lorem ipsum dolor sit amet consectetur adipiscing elit lorem",EUR 1000000.01,ALTRUIST,sponsorship-01
donation-11,"Lorem ipsum","Lorem ipsum dolor sit amet consectetur adipiscing elit lorem",null,ALTRUIST,sponsorship-01
donation-15,"Lorem ipsum","Lorem ipsum dolor sit amet consectetur adipiscing elit lorem",DOL 500.00,ALTRUIST,sponsorship-01
# donation kind
donation-12,"Lorem ipsum","Lorem ipsum dolor sit amet consectetur adipiscing elit lorem",EUR 500.00,"",sponsorship-01
donation-13,"Lorem ipsum","Lorem ipsum dolor sit amet consectetur adipiscing elit lorem",EUR 500.00,,sponsorship-01
donation-14,"Lorem ipsum","Lorem ipsum dolor sit amet consectetur adipiscing elit lorem",EUR 500.00,null,sponsorship-01
