key,ticker,name,description,start-moment,end-moment,more-info,draft-mode,key:inventor
invention-01,AA01-ABCDE,"","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025-08-01 00:00,2025-08-01 00:01,http://lorem.com/ipsum,true,inventor-01
invention-02,BB02-FGHIJK,"","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025-08-01 00:00,2025-08-01 00:01,http://lorem.com/ipsum,true,inventor-01
invention-03,CC03-LMNOPQ,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tem","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025-08-01 00:00,2025-08-01 00:01,http://lorem.com/ipsum,true,inventor-01
invention-04,DD04-PQRSTU,"Lorem ipsum dolor sit amet, consectetu","",2025-08-01 00:00,2025-08-01 00:01,http://lorem.com/ipsum,true,inventor-01
invention-05,EE05-VWXYZ1,"Lorem ipsum dolor sit amet, consectetu","",2025-08-01 00:00,2025-08-01 00:01,http://lorem.com/ipsum,true,inventor-01
invention-06,FF06-ABCDE2,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor i",2025-08-01 00:00,2025-08-01 00:01,http://lorem.com/ipsum,true,inventor-01
invention-07,GG07-FGHIJ3,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025-08-01 00:00,2025-08-01 00:01,http://,true,inventor-01
invention-08,HH08-KLMNO4,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025-08-01 00:00,2025-08-01 00:01,ftp://,true,inventor-01
invention-09,II09-PQRST5,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025-08-01 00:00,2025-08-01 00:01,http://a,true,inventor-01
invention-10,JJ10-UVWXY6,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025-08-01 00:00,2025-08-01 00:01,ftp://a,true,inventor-01
invention-11,KK11-ZABCD7,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025-08-01 00:00,2025-08-01 00:01,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/x",true,inventor-01
invention-12,AA01-ABCDE,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025-08-01 00:00,2025-08-01 00:01,http://lorem.com/ipsum,true,inventor-01
invention-13,AA12-ABCDE8,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",01/09/2022 10:00,08/01/2025 00:00,http://lorem.com/ipsum,true,inventor-01
invention-14,BB13-FGHIJ9,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","",08/01/2025 00:00,http://lorem.com/ipsum,true,inventor-01
invention-15,CC14-KLMNO0,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",07/01/2025 23:59,08/01/2025 00:00,http://lorem.com/ipsum,true,inventor-01
invention-16,DD15-PQRST1,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",01/01/2201 00:01,08/01/2025 00:00,http://lorem.com/ipsum,true,inventor-01
invention-17,EE16-VWXYZ2,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",08/01/2025 00:00,01/09/2022 10:00,http://lorem.com/ipsum,true,inventor-01
invention-18,FF17-ABCDE3,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",08/01/2025 00:00,"",http://lorem.com/ipsum,true,inventor-01
invention-19,GG18-FGHIJ4,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",08/01/2025 00:00,07/01/2025 23:59,http://lorem.com/ipsum,true,inventor-01
invention-20,HH19-KLMNO5,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",08/01/2025 00:00,01/01/2201 00:01,http://lorem.com/ipsum,true,inventor-01
