key,ticker,name,description,startMoment,endMoment,moreInfo,draftMode,key:fundraiser
# Base
strategy-01,"","","","","","","",""
# Ticker
strategy-02,"","Lorem ipsum dolor sit amet consectetu","Lorem ipsum dolor sit amet consectetur adipiscing elit.",2026/01/08 0:00,2200/12/31 23:59,"http://lorem.com",true,fundraiser-01
strategy-03,"A00-abcde","Lorem ipsum dolor sit amet consectetu","Lorem ipsum dolor sit amet consectetur adipiscing elit.",2026/01/08 0:00,2200/12/31 23:59,"http://lorem.com",true,fundraiser-01
strategy-04,"aa00-abcde","Lorem ipsum dolor sit amet consectetu","Lorem ipsum dolor sit amet consectetur adipiscing elit.",2026/01/08 0:00,2200/12/31 23:59,"http://lorem.com",true,fundraiser-01
strategy-05,"aa00-abcdefghijk","Lorem ipsum dolor sit amet consectetu","Lorem ipsum dolor sit amet consectetur adipiscing elit.",2026/01/08 0:00,2200/12/31 23:59,"http://lorem.com",true,fundraiser-01
# Name
strategy-06,AA01-AAAAAA,"","Lorem ipsum dolor sit amet consectetur adipiscing elit.",2026/01/08 0:00,2200/12/31 23:59,"http://lorem.com",true,fundraiser-01
strategy-07,AA02-AAAAAA,"Lorem ipsum dolor sit amet consectetur adipiscing elit. Sed do: eiusmod tem ipsum dolor sit amet consectetur","Lorem ipsum dolor sit amet",2026/01/08 0:00,2200/12/31 23:59,"http://lorem.com",true,fundraiser-01
# Description
strategy-08,AA03-AAAAAA,"Lorem ipsum dolor sit amet consectetu","",2026/01/08 0:00,2200/12/31 23:59,"http://lorem.com",true,fundraiser-01
strategy-09,AA04-AAAAAA,"Lorem ipsum dolor sit amet consectetu","Lorem ipsum dolor sit amet consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua extra dolor sit amet consectetur adipiscing elit",2026/01/08 0:00,2200/12/31 23:59,"http://lorem.com",true,fundraiser-01
# StartMoment
strategy-10,AA05-AAAAAA,"Lorem ipsum dolor sit amet consectetu","Lorem ipsum dolor sit amet","",2200/12/31 23:59,"http://lorem.com",true,fundraiser-01
strategy-11,AA06-AAAAAA,"Lorem ipsum dolor sit amet consectetu","Lorem ipsum dolor sit amet",2022/09/01 10:00,2200/12/31 23:59,"http://lorem.com",true,fundraiser-01
strategy-12,AA07-AAAAAA,"Lorem ipsum dolor sit amet consectetu","Lorem ipsum dolor sit amet",2201/01/01 0:01,2200/12/31 23:59,"http://lorem.com",true,fundraiser-01
# EndMoment
strategy-13,AA08-AAAAAA,"Lorem ipsum dolor sit amet consectetu","Lorem ipsum dolor sit amet",2026/01/08 0:00,"","http://lorem.com",true,fundraiser-01
strategy-14,AA09-AAAAAA,"Lorem ipsum dolor sit amet consectetu","Lorem ipsum dolor sit amet",2026/01/08 0:00,2022/09/01 10:00,"http://lorem.com",true,fundraiser-01
strategy-15,AA10-AAAAAA,"Lorem ipsum dolor sit amet consectetu","Lorem ipsum dolor sit amet",2026/01/08 0:00,2026/01/06 23:59,"http://lorem.com",true,fundraiser-01
# MoreInfo
strategy-16,AA11-AAAAAA,"Lorem ipsum dolor sit amet consectetu","Lorem ipsum dolor sit amet",2026/01/08 0:00,2200/12/31 23:59,,true,fundraiser-01
strategy-17,AA12-AAAAAA,"Lorem ipsum dolor sit amet consectetu","Lorem ipsum dolor sit amet",2026/01/08 0:00,2200/12/31 23:59,"ftp://",true,fundraiser-01
strategy-18,AA13-AAAAAA,"Lorem ipsum dolor sit amet consectetu","Lorem ipsum dolor sit amet",2026/01/08 0:00,2200/12/31 23:59,"http://a",true,fundraiser-01
# DraftMode
strategy-19,AA14-AAAAAA,"Lorem ipsum dolor sit amet consectetu","Lorem ipsum dolor sit amet",2026/01/08 0:00,2200/12/31 23:59,"http://lorem.com","",fundraiser-01
# Fundraiser
strategy-20,AA15-AAAAAA,"Lorem ipsum dolor sit amet consectetu","Lorem ipsum dolor sit amet",2026/01/08 0:00,2200/12/31 23:59,"http://lorem.com",true,""
