key,ticker,name,description,start-moment,end-moment,more-info,draft-mode,key:inventor
invention-01,AA01-ABCDE,L,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025-08-01 00:00,2025-08-01 00:01,http://lorem.com/ipsum,true,inventor-01
invention-02,BB02-FGHIJK,Lo,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025-08-01 00:00,2025-08-01 00:01,http://lorem.com/ipsum,true,inventor-01
invention-03,CC03-LMNOPQ,"Lorem ipsum dolor sit amet, consectetur adipiscing el","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025-08-01 00:00,2025-08-01 00:01,http://lorem.com/ipsum,true,inventor-01
invention-04,DD04-PQRSTU,"Lorem ipsum dolor sit amet, consectetur adipiscing eli","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025-08-01 00:00,2025-08-01 00:01,http://lorem.com/ipsum,true,inventor-01
invention-05,EE05-VWXYZ1,โลเร็ม อิปซัม,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025-08-01 00:00,2025-08-01 00:01,http://lorem.com/ipsum,true,inventor-01
invention-06,FF06-ABCDE2,لوريم إيبسوم,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025-08-01 00:00,2025-08-01 00:01,http://lorem.com/ipsum,true,inventor-01
invention-07,GG07-FGHIJ3,洛伦·伊普森,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025-08-01 00:00,2025-08-01 00:01,http://lorem.com/ipsum,true,inventor-01
invention-08,HH08-KLMNO4,<marquee>Hacked</marquee>,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025-08-01 00:00,2025-08-01 00:01,http://lorem.com/ipsum,true,inventor-01
invention-09,II09-PQRST5,<script>alert('Hacked!');</script>,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025-08-01 00:00,2025-08-01 00:01,http://lorem.com/ipsum,true,inventor-01
invention-10,JJ10-UVWXY6,' or 'A' = 'A,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025-08-01 00:00,2025-08-01 00:01,http://lorem.com/ipsum,true,inventor-01
invention-11,KK11-ZABCD7,"Lorem ipsum dolor sit amet, consectetu",L,2025-08-01 00:00,2025-08-01 00:01,http://lorem.com/ipsum,true,inventor-01
invention-12,AA12-ABCDE8,"Lorem ipsum dolor sit amet, consectetu",Lo,2025-08-01 00:00,2025-08-01 00:01,http://lorem.com/ipsum,true,inventor-01
invention-13,BB13-FGHIJ9,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",2025-08-01 00:00,2025-08-01 00:01,http://lorem.com/ipsum,true,inventor-01
invention-14,CC14-KLMNO0,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",2025-08-01 00:00,2025-08-01 00:01,http://lorem.com/ipsum,true,inventor-01
invention-15,DD15-PQRST1,"Lorem ipsum dolor sit amet, consectetu",โลเร็ม อิปซัม,2025-08-01 00:00,2025-08-01 00:01,http://lorem.com/ipsum,true,inventor-01
invention-16,EE16-VWXYZ2,"Lorem ipsum dolor sit amet, consectetu",لوريم إيبسوم,2025-08-01 00:00,2025-08-01 00:01,http://lorem.com/ipsum,true,inventor-01
invention-17,FF17-ABCDE3,"Lorem ipsum dolor sit amet, consectetu",洛伦·伊普森,2025-08-01 00:00,2025-08-01 00:01,http://lorem.com/ipsum,true,inventor-01
invention-18,GG18-FGHIJ4,"Lorem ipsum dolor sit amet, consectetu",<marquee>Hacked</marquee>,2025-08-01 00:00,2025-08-01 00:01,http://lorem.com/ipsum,true,inventor-01
invention-19,HH19-KLMNO5,"Lorem ipsum dolor sit amet, consectetu",<script>alert('Hacked!');</script>,2025-08-01 00:00,2025-08-01 00:01,http://lorem.com/ipsum,true,inventor-01
invention-20,II20-PQRST6,"Lorem ipsum dolor sit amet, consectetu",' or 'A' = 'A,2025-08-01 00:00,2025-08-01 00:01,http://lorem.com/ipsum,true,inventor-01
invention-21,JJ21-UVWXY7,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025-08-01 00:00,2205-12-31 23:59,http://lorem.com/ipsum,true,inventor-01
invention-22,KK22-ZABCD8,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025-08-01 00:01,2201-01-01 00:00,http://lorem.com/ipsum,true,inventor-01
