key,name,notes,expectedPercentage,tacticKind,key:strategy
tactic-01,Tactic1,Lorem ipsum dolor sit amet consectetur adipiscing elit lorem,15.00,SUBTLE,strategy-01
tactic-02,Tactic2,Lorem ipsum dolor sit amet consectetur adipiscing elit lorem,70.00,TENDER,strategy-02
tactic-03,Tactic3,Lorem ipsum dolor sit amet consectetur adipiscing elit lorem,26.00,AGGRESSIVE,strategy-03
tactic-04,Tactic4,Lorem ipsum dolor sit amet consectetur adipiscing elit lorem,90.00,TENDER,strategy-04
tactic-05,Tactic5,Lorem ipsum dolor sit amet consectetur adipiscing elit lorem,55.00,TENDER,strategy-05
tactic-06,Tactic6,Lorem ipsum dolor sit amet consectetur adipiscing elit lorem,67.00,SUBTLE,strategy-02
tactic-07,Tactic7,Lorem ipsum dolor sit amet consectetur adipiscing elit lorem,34.00,AGGRESSIVE,strategy-02
tactic-08,Tactic8,Lorem ipsum dolor sit amet consectetur adipiscing elit lorem,01.00,AGGRESSIVE,strategy-01
tactic-09,Tactic9,Lorem ipsum dolor sit amet consectetur adipiscing elit lorem,42.00,SUBTLE,strategy-03
tactic-10,Tactic10,Lorem ipsum dolor sit amet consectetur adipiscing elit lorem,78.00,TENDER,strategy-01
tactic-11,Tactic11,Lorem ipsum dolor sit amet consectetur adipiscing elit lorem,33.00,AGGRESSIVE,strategy-04
tactic-12,Tactic12,Lorem ipsum dolor sit amet consectetur adipiscing elit lorem,60.00,SUBTLE,strategy-05
tactic-13,Tactic13,Lorem ipsum dolor sit amet consectetur adipiscing elit lorem,88.00,TENDER,strategy-02
tactic-14,Tactic14,Lorem ipsum dolor sit amet consectetur adipiscing elit lorem,20.00,AGGRESSIVE,strategy-05
tactic-15,Tactic15,Lorem ipsum dolor sit amet consectetur adipiscing elit lorem,50.00,SUBTLE,strategy-04
tactic-16,Tactic16,Lorem ipsum dolor sit amet consectetur adipiscing elit lorem,95.00,TENDER,strategy-03
tactic-17,Tactic17,Lorem ipsum dolor sit amet consectetur adipiscing elit lorem,20.00,AGGRESSIVE,strategy-10
tactic-18,Tactic18,Lorem ipsum dolor sit amet consectetur adipiscing elit lorem,18.00,TENDER,strategy-10
tactic-19,Tactic19,Lorem ipsum dolor sit amet consectetur adipiscing elit lorem,23.00,SUBTLE,strategy-10
